ID,company,job_title,job_location,company_type
1,REALTIME recruitment,AWS Data Engineer,"Dublin, County Dublin",Recruitment
2,Brightwater,Quantitative Data Engineer,"Dublin, County Dublin",Recruitment
3,Nab-Ire Ventures Limited,Data Engineer (Limerick/Hybrid),"Limerick, County Limerick",Investment
4,AIB Group,"Data Engineering Lead, Dublin","Dublin, County Dublin",Bank
5,AON,Data Products Engineer,"Dublin, County Dublin",Insurance
6,Fruition Group,Data and BI Engineer,"Dublin, County Dublin",Professional Services
7,Reperio Human Capital Ltd,Senior Data Engineer,"Dublin, County Dublin",Recruitment
8,Reperio Human Capital Ltd,Senior Data Engineer,"Dublin, County Dublin",Recruitment
9,Reperio Human Capital Ltd,Senior Data Engineer,"Dublin, County Dublin",Recruitment
10,Reperio Human Capital Ltd,Senior Data Engineer - Databricks,"Dublin, County Dublin",Recruitment
11,REALTIME recruitment,Senior Data Engineer,"Dublin, County Dublin",Recruitment
12,Dunnes Stores,Senior Data Engineer,"Dublin, County Dublin",Retail
13,Adecco,Senior Data Engineer,"Galway, Republic of Ireland",Recruitment
14,@Recruit IT Limited,IT Infrastructure & Data Centre Build Engineer,"Dublin, County Dublin",Recruitment
15,Reperio Human Capital Ltd,Lead Data Engineer,"Dublin, County Dublin",Recruitment
16,Reperio Human Capital Ltd,Lead Data Engineer,"Dublin, County Dublin",Recruitment
17,ICON Clinical Research Ltd,Senior Clinical Data Science Programmer,"Dublin, County Dublin",Healthcare
18,Data Intellect (AquaQ Analytics),Data Engineer Contractor (Python Pandas),"County Dublin, Dublin",Data Analytics
19,Data Intellect (AquaQ Analytics),Data Engineer Contractor (Python / kdb+),"County Dublin, Dublin",Data Analytics
20,Experian Group,Information Security Data Engineer,"County Dublin, Dublin",Data Analytics
21,Zalando,Backend & Data Engineer - Ratings & Reviews (HYBRID),"County Dublin, Dublin",Technology
22,Mastercard,Data Engineer,"County Dublin, Dublin",Technology
23,Qualtrics,Proof of Concept Strategic Solution & Data Engineer,"County Dublin, Dublin",Technology
24,SAP Ireland Limited,Security Data Governance Engineer,County Dublin,Technology
25,J.P MORGAN S.E Dublin Branch,"Workplace Solutions - Data Analyst, Vice President","Dublin, County Dublin",Bank
26,Fidelity Investments,Senior Data Engineer,"Galway, Republic of Ireland",Investment Management
27,Experian Group,Lead Data Engineer,"County Dublin, Dublin",Data Analytics
28,Microsoft,Cloud and AI - Data Solution Engineer - German Speaking,"County Dublin, Dublin",Technology
29,Microsoft,"Digital Solution Engineer - Cloud & AI Data, German Market","County Dublin, Dublin",Technology
30,AXA Group,Scrum Master,"Dublin, County Dublin",Insurance
31,Deloitte Ireland LLP,"AI & Data, Manager/Senior Manager, Hybrid","Dublin, County Dublin",Consulting
32,SAP Ireland Limited,Senior Security Data Governance Engineer,County Dublin,Technology
33,Amach,Data Engineering Operations Manager,"County Dublin, Dublin",Professional Services
34,Mastercard,"Director, Data Scientist","County Dublin, Dublin",Technology
35,General Motors Ireland Ltd,"Staff Engineer, Applications, Site Reliability Engineering","Limerick, County Limerick",Manufacturing
36,Mastercard,Senior Data Scientist,"County Dublin, Dublin",Technology
37,Proofpoint,Senior Backend Engineer,"Cork, County Cork",Technology
38,Paypal,"Manager, Data Science - Dublin","County Dublin, Dublin",Technology
39,PM Group,Data Centre Cx Commissioning Engineer,"Dublin, County Dublin",Engineering
40,Eaton Corporation,Data Center Electrical Engineer,"County Dublin, Dublin",Technology
