ID,company,job_title,job_location,company_type
1,AXA Group,Data Scientist I,"Dublin, County Dublin",Insurance
2,Reperio Human Capital Ltd,Data Scientist,"Cork, County Cork",Recruitment
3,AON,Data Scientist,"Dublin, County Dublin",Insurance
4,AXA Group,Senior Data Scientist,"Dublin, County Dublin",Insurance
5,Reperio Human Capital Ltd,Senior Data Scientist,"Galway, Republic of Ireland",Recruitment
6,Reperio Human Capital Ltd,Senior Data Scientist,"Galway, Republic of Ireland",Recruitment
7,Eaton Corporation,Data Scientist,"County Dublin, Dublin",Technology
8,McAfee Ireland Ltd,Data Scientist - LLMs & Generative AI,"Cork, County Cork",Technology
9,Microsoft,Principal Data Scientist - Microsoft 365 Copilot,"Moneygall, County Offaly",Technology
10,Mastercard,"Director, Data Scientist","County Dublin, Dublin",Technology
11,Red Hat,Data Scientist,"Waterford, County Waterford",Technology
12,Paypal,Snr Data Scientist - Fraud Automation Team,"County Dublin, Dublin",Technology
13,Paypal,Data Scientist - Dublin,"County Dublin, Dublin",Technology
14,Liberty IT,Data Scientist,"Galway, Republic of Ireland",Technology
15,Liberty Information Technology,Data Scientist,"Galway, Republic of Ireland",Technology
16,Paypal,Data Scientist - CGS Event,"County Dublin, Dublin",Technology
17,Mastercard,Lead Data Scientist,"County Dublin, Dublin",Technology
18,Experian Group,Lead Data Scientist - Model Risk Management,"County Dublin, Dublin",Data Analytics
19,AXA Group,Analytics Translator,"Dublin, County Dublin",Insurance
20,Mastercard,Senior Data Scientist,"County Dublin, Dublin",Technology
21,Paypal,Senior Data Scientist - Dublin,"County Dublin, Dublin",Technology
22,CVS Health Ireland,Machine Learning Engineer,"Galway, Republic of Ireland",Healthcare
23,AXA Group,Scrum Master,"Dublin, County Dublin",Insurance
24,Paypal,"Manager, Data Science - Dublin","County Dublin, Dublin",Technology
25,Mastercard,Lead AI Engineer,"County Dublin, Dublin",Technology
26,Microsoft,Applied Scientist - LLM,"County Dublin, Dublin",Technology
27,Experian Group,Machine Learning Engineer - GenAI,"County Dublin, Dublin",Data Analytics
28,Mastercard,"Product Manager, Payments AI Solutions","County Dublin, Dublin",Technology
29,Mastercard,"Product Manager, Payments AI Solutions","County Dublin, Dublin",Technology
30,Cancer Trials Ireland CLG,Statistical Programmer,"Dublin, County Dublin",Healthcare Research
31,Northern Trust,Data Analyst - AML/KYC-Limerick,"Limerick, County Limerick",Financial Services
32,HIQA (Health Information and Quality Authority),Healthcare Data Analyst,Republic of Ireland,Government
33,Cpl Resources,"Senior/Principal Data Analyst - Hybrid, Financial Services, Galway","Galway, Republic of Ireland",Recruitment
34,J.P MORGAN S.E Dublin Branch,"Workplace Solutions - Data Analyst, Vice President","Dublin, County Dublin",Bank
35,Total Talent,"Freight Invoice & Data Analyst (SAP, Excel, Power BI)","Dublin, County Dublin",Recruitment
