ID,company type,job_title,job_location,job_type,latitude,longitude,company type
1,Financial Services,Data Analyst - AML/KYC-Limerick,"Limerick, County Limerick",DA,52.6638,-8.6267,Financial Services
2,Recruitment,Data Analyst,"Galway, Republic of Ireland",DA,53.2707,-9.0568,Recruitment
3,Recruitment,"Freight Invoice & Data Analyst (SAP, Excel, Power BI)","Dublin, County Dublin",DA,53.3498,-6.2603,Recruitment
4,Recruitment,Data Analyst,"Tullamore, County Offaly",DA,53.274,-7.4896,Recruitment
5,Bank,"Workplace Solutions - Data Analyst, Vice President","Dublin, County Dublin",DA,53.3498,-6.2603,Bank
6,Healthcare,Data Analyst - Clarity,"Dublin, County Dublin",DA,53.3498,-6.2603,Healthcare
7,Recruitment,Data Analyst - Azure,"Dublin, County Dublin",DA,53.3498,-6.2603,Recruitment
8,Recruitment,"Freight Invoice & Data Analyst (SAP, Excel, Power BI)","Dublin, County Dublin",DA,53.3498,-6.2603,Recruitment
9,Recruitment,Data Analyst - Limerick,"Limerick, County Limerick",DA,52.6638,-8.6267,Recruitment
10,Recruitment,"Senior/Principal Data Analyst - Hybrid, Financial Services, Galway","Galway, Republic of Ireland",DA,53.2707,-9.0568,Recruitment
11,Government,Healthcare Data Analyst,Republic of Ireland,DA,53.1424,-7.6921,Government
12,Recruitment,Junior Data Analyst,"Galway, Republic of Ireland",DA,53.2707,-9.0568,Recruitment
13,Financial Services,Information Protection Reporting and Analytics Analyst,"Kilkenny, County Kilkenny",DA,52.6541,-7.2448,Financial Services
14,Financial Services,Analyst - Data Management,"Cork, County Cork",DA,51.8985,-8.4756,Financial Services
15,Recruitment,Senior Data Analyst,"Limerick, County Limerick",DA,52.6638,-8.6267,Recruitment
16,Recruitment,Senior Data Analyst,"Cork, County Cork",DA,51.8985,-8.4756,Recruitment
17,Recruitment,Senior Data Analyst,"Galway, Republic of Ireland",DA,53.2707,-9.0568,Recruitment
18,Retail,Senior Data Analyst,"Dublin, County Dublin",DA,53.3498,-6.2603,Retail
19,Retail,Senior Commercial Data Analyst,"Dublin, County Dublin",DA,53.3498,-6.2603,Retail
20,Healthcare,Senior Data Analyst - Supply Chain Planning,Republic of Ireland,DA,53.1424,-7.6921,Healthcare
21,Insurance,Senior Data Analyst,"Carlow, County Carlow",DA,52.8407,-6.9269,Insurance
22,Insurance,Data Scientist I,"Dublin, County Dublin",DA,53.3498,-6.2603,Insurance
23,Retail,Media Insight Analyst,"Dublin, County Dublin",DA,53.3498,-6.2603,Retail
24,Insurance,Market Pricing Analyst,"Dublin, County Dublin",DA,53.3498,-6.2603,Insurance
25,Insurance,Data Scientist,"Dublin, County Dublin",DA,53.3498,-6.2603,Insurance
26,Recruitment,Data Scientist,"Cork, County Cork",DA,51.8985,-8.4756,Recruitment
27,Recruitment,BI Analyst,"Galway, Republic of Ireland",DA,53.2707,-9.0568,Recruitment
28,Recruitment,BI Developer,"Dublin, County Dublin",DA,53.3498,-6.2603,Recruitment
29,Recruitment,SAP Data Migration Consultant,"Dublin, County Dublin",DA,53.3498,-6.2603,Recruitment
30,Recruitment,BI Developer,"Cork, County Cork",DA,51.8985,-8.4756,Recruitment
31,Financial Services,"Associate Consultant, Data Management - Total Portfolio Solutions (FOS) Graduate Opportunity","Limerick, County Limerick",DA,52.6638,-8.6267,Financial Services
32,Bank,Data Analyst,"County Dublin, Dublin",DA,53.3498,-6.2603,Bank
33,Bank,Data Analyst FTC - 6 Months,"County Dublin, Dublin",DA,53.3498,-6.2603,Bank
34,Consulting,Data Analytics - Senior Consultant,"Dublin, County Dublin",DA,53.3498,-6.2603,Consulting
35,Insurance,Senior Data Scientist,"Dublin, County Dublin",DA,53.3498,-6.2603,Insurance
36,Recruitment,Senior Data Scientist,"Galway, Republic of Ireland",DA,53.2707,-9.0568,Recruitment
37,Recruitment,Senior Data Scientist,"Galway, Republic of Ireland",DA,53.2707,-9.0568,Recruitment
38,Recruitment,Data and Systems Analyst,"Galway, Republic of Ireland",DA,53.2707,-9.0568,Recruitment
39,Recruitment,Qualified Actuary-Insurance-central Dublin-hybrid,"Dublin, County Dublin",DA,53.3498,-6.2603,Recruitment
40,Consulting,Data Anlayst,"Dublin, County Dublin",DA,53.3498,-6.2603,Consulting
41,Bank,Senior Data Analyst,"Tralee, County Kerry",DA,52.2713,-9.7016,Bank
42,Technology,Senior Data Analyst,"County Dublin, Dublin",DA,53.3498,-6.2603,Technology
43,Technology,Data Scientist,"Galway, Republic of Ireland",DA,53.2707,-9.0568,Technology
44,Technology,"Director, Data Scientist","County Dublin, Dublin",DA,53.3498,-6.2603,Technology
45,Technology,Data Scientist,"Galway, Republic of Ireland",DA,53.2707,-9.0568,Technology
46,Technology,Data Scientist,"Waterford, County Waterford",DA,52.2593,-7.1101,Technology
47,Technology,Data Scientist - LLMs & Generative AI,"Cork, County Cork",DA,51.8985,-8.4756,Technology
48,Technology,Data Scientist,"County Dublin, Dublin",DA,53.3498,-6.2603,Technology
49,Technology,Data Scientist - Dublin,"County Dublin, Dublin",DA,53.3498,-6.2603,Technology
50,Technology,Data Scientist - CGS Event,"County Dublin, Dublin",DA,53.3498,-6.2603,Technology
51,Technology,Snr Data Scientist - Fraud Automation Team,"County Dublin, Dublin",DA,53.3498,-6.2603,Technology
52,Technology,Principal Data Scientist - Microsoft 365 Copilot,"Moneygall, County Offaly",DA,53.3498,-6.2603,Technology
53,Telecommunications,Senior Manager Techical Project Management,"Limerick, County Limerick",DA,52.6638,-8.6267,Telecommunications
54,Data Analytics,Lead Data Scientist - Model Risk Management,"County Dublin, Dublin",DA,53.3498,-6.2603,Data Analytics
55,Technology,Lead Data Scientist,"County Dublin, Dublin",DA,53.3498,-6.2603,Technology
56,Healthcare,Senior Biostatistician 閳?Oncology (FSP -Permanent Homebased),"County Dublin, Dublin",DA,53.3498,-6.2603,Healthcare
57,Technology,Senior Data Scientist,"County Dublin, Dublin",DA,53.3498,-6.2603,Technology
58,Technology,Senior Data Scientist - Dublin,"County Dublin, Dublin",DA,53.3498,-6.2603,Technology
59,Healthcare,"Principal Biostatistician , FSP - Permanent Homebased (m/w/d)","County Dublin, Dublin",DA,53.3498,-6.2603,Healthcare
60,Technology,"Manager, Data Science - Dublin","County Dublin, Dublin",DA,53.3498,-6.2603,Technology
61,Technology,Product Manager - Workforce Employee Mgt,"Moneygall, County Offaly",DA,53.3498,-6.2603,Technology
62,Fintech,Insurance Consultant (Ireland),"County Dublin, Dublin",DA,53.3498,-6.2603,Fintech
63,Technology,Detection & Enforcement Rules Analyst,"Moneygall, County Offaly",DA,53.3498,-6.2603,Technology
64,Technology,Detection & Enforcement Rules Analyst,"County Dublin, Dublin",DA,53.3498,-6.2603,Technology
65,Technology,Senior Infrastructure Specialist,"Moneygall, County Offaly",DA,53.3498,-6.2603,Technology
66,Technology,Chief Information Security Officer (CISO) & Practice Lead,"Boyle, County Roscommon",DA,53.6331,-8.1869,Technology
67,Fintech,Data Analytics Manager,"County Dublin, Dublin",DA,53.3498,-6.2603,Fintech
