,job_title,company,experience,skills
1,Data Analyst - AML/KYC-Limerick,N/A,130,"Python, R, Excel, Power BI, Tableau, PowerPoint"
2,Data Analyst,N/A,0,"R, SQL, Azure"
3,"Freight Invoice & Data Analyst (SAP, Excel, Power BI)",N/A,0,"R, Excel, Power BI, Azure"
4,Data Analyst,N/A,0,"R, SQL, Excel, Power BI"
5,"Workplace Solutions - Data Analyst, Vice President",N/A,5,"Python, R, SQL, Power BI, Tableau, Machine Learning, Statistics, Azure"
6,Data Analyst - Clarity,N/A,1,"R, SQL, Excel, Power BI, Azure"
7,Data Analyst - Azure,N/A,0,"R, SQL, Excel, Power BI, Azure"
8,"Freight Invoice & Data Analyst (SAP, Excel, Power BI)",N/A,0,"R, Excel, Power BI, Azure"
9,Data Analyst - Limerick,N/A,0,"Python, R, SQL, Data Visualization"
10,"Senior/Principal Data Analyst - Hybrid, Financial Services, Galway",N/A,8,"Python, R, SQL, Power BI, Tableau, AWS"
11,Healthcare Data Analyst,N/A,0,"R, Power BI, Azure"
12,Junior Data Analyst,N/A,0,"R, SQL, Excel, Machine Learning"
13,Information Protection Reporting and Analytics Analyst,N/A,0,"R, Power BI, Machine Learning"
14,Analyst - Data Management,N/A,0,"R, Excel"
15,Senior Data Analyst,N/A,5,"Python, R, SQL, Power BI, Tableau, Statistics, Data Visualization, AWS, Azure, Looker"
16,Senior Data Analyst,N/A,5,"Python, R, SQL, Power BI, Tableau, Statistics, Data Visualization, Looker"
17,Senior Data Analyst,N/A,5,"Python, R, SQL, Power BI, Tableau, Statistics, Looker"
18,Senior Data Analyst,N/A,5,"Python, R, SQL, Power BI, Tableau, Statistics"
19,Senior Commercial Data Analyst,N/A,5,"Python, R, SQL, Power BI, Tableau, Statistics"
20,Senior Data Analyst - Supply Chain Planning,N/A,12,"R, Power BI"
21,Senior Data Analyst,N/A,5,"R, SQL, Power BI, Tableau, Statistics, Azure, Looker"
22,Data Scientist I,N/A,0,"R, Excel, Machine Learning, Statistics, Azure, SAS, PowerPoint"
23,Media Insight Analyst,N/A,3,"Python, R, SQL, Excel, Power BI, Tableau, Statistics, Data Visualization, Looker"
24,Market Pricing Analyst,N/A,2,"R, Statistics, Azure, SAS"
25,Data Scientist,N/A,0,"Python, R, Power BI, Machine Learning"
26,Data Scientist,N/A,3,"Python, R, SQL, Machine Learning, Statistics, Data Visualization, AWS, Azure, Spark"
27,BI Analyst,N/A,3,"Python, R, SQL, Power BI, Tableau, Azure, Qlik"
28,BI Developer,N/A,5,"Python, R, SQL, Power BI, Tableau, Azure, Looker"
29,SAP Data Migration Consultant,N/A,0,"R, Excel, Power BI"
30,BI Developer,N/A,3,"Python, R, SQL, Power BI, Data Visualization, Azure"
31,"Associate Consultant, Data Management - Total Portfolio Solutions (FOS) Graduate Opportunity",N/A,130,"R, Power BI"
32,Data Analyst,N/A,0,"Python, R, SQL, Excel, Power BI, Statistics"
33,Data Analyst FTC - 6 Months,N/A,0,"Python, R, SQL, Excel, Statistics"
34,Data Analytics - Senior Consultant,N/A,0,"Python, R, SQL, Power BI, Tableau, Azure, SAS"
35,Senior Data Scientist,N/A,0,"R, Excel, Power BI, Machine Learning, SAS, PowerPoint"
36,Senior Data Scientist,N/A,5,"Python, R, SQL, Machine Learning, Statistics, Azure"
37,Senior Data Scientist,N/A,5,"Python, R, SQL, Machine Learning, Statistics, AWS, Azure, Spark"
38,Data and Systems Analyst,N/A,1,"R, SQL, Power BI"
39,Qualified Actuary-Insurance-central Dublin-hybrid,N/A,4,"Python, R, SQL, Machine Learning"
40,Data Anlayst,N/A,0,"Python, R, SQL, Excel, Power BI, Azure"
41,Senior Data Analyst,N/A,3,"Python, R, SQL, Excel, Power BI, Tableau, Statistics, PowerPoint"
42,Senior Data Analyst,N/A,25,"Python, R, SQL, Power BI, Tableau, Statistics, Data Visualization, Jupyter, Looker"
43,Data Scientist,N/A,0,"R, Machine Learning"
44,"Director, Data Scientist",N/A,0,"Python, R, Power BI, Tableau, Machine Learning, AWS, Azure, Google Cloud, Spark, Hadoop"
45,Data Scientist,N/A,0,"R, Machine Learning"
46,Data Scientist,N/A,1,"Python, R, Power BI, Machine Learning, Statistics, Azure"
47,Data Scientist - LLMs & Generative AI,N/A,7,"Python, R, SQL, Machine Learning, Statistics, Data Visualization, AWS"
48,Data Scientist,N/A,4,"Python, R, Machine Learning"
49,Data Scientist - Dublin,N/A,4,"Python, R, SQL, Excel, Machine Learning, Azure"
50,Data Scientist - CGS Event,N/A,2,R
51,Snr Data Scientist - Fraud Automation Team,N/A,3,"Python, R, SQL, Machine Learning, Statistics"
52,Principal Data Scientist - Microsoft 365 Copilot,N/A,0,"R, Machine Learning, Statistics"
53,Senior Manager Techical Project Management,N/A,0,"R, Tableau, Google Cloud"
54,Lead Data Scientist - Model Risk Management,N/A,0,"Python, R, Machine Learning, SAS"
55,Lead Data Scientist,N/A,5,"Python, R, Machine Learning, AWS, Azure"
56,Senior Biostatistician 鈥?Oncology (FSP -Permanent Homebased),N/A,5,"R, Machine Learning, Statistics, SAS"
57,Senior Data Scientist,N/A,0,"Python, R, Power BI, Tableau, Machine Learning, Statistics, Pandas, Spark, Hadoop"
58,Senior Data Scientist - Dublin,N/A,6,"Python, R, SQL, Power BI, Tableau, Machine Learning, Statistics, Looker"
59,"Principal Biostatistician , FSP - Permanent Homebased (m/w/d)",N/A,0,"R, SAS"
60,"Manager, Data Science - Dublin",N/A,3,"Python, R, SQL"
61,Product Manager - Workforce Employee Mgt,N/A,3,"R, SQL"
