ID,company,job_title,job_location
1,Northern Trust,Data Analyst - AML/KYC-Limerick,"Limerick, County Limerick"
2,Strive Recruitment,Data Analyst,"Galway, Republic of Ireland"
3,Total Talent,"Freight Invoice & Data Analyst (SAP, Excel, Power BI)","Dublin, County Dublin"
4,UniJobs,Data Analyst,"Tullamore, County Offaly"
5,J.P MORGAN S.E Dublin Branch,"Workplace Solutions - Data Analyst, Vice President","Dublin, County Dublin"
6,Tasman Global Healthcare Ireland Limited dba Nordic Global,Data Analyst - Clarity,"Dublin, County Dublin"
7,@Recruit IT Limited,Data Analyst - Azure,"Dublin, County Dublin"
8,Total Talent,"Freight Invoice & Data Analyst (SAP, Excel, Power BI)","Dublin, County Dublin"
9,UniJobs,Data Analyst - Limerick,"Limerick, County Limerick"
10,Cpl Resources,"Senior/Principal Data Analyst - Hybrid, Financial Services, Galway","Galway, Republic of Ireland"
11,HIQA (Health Information and Quality Authority),Healthcare Data Analyst,Republic of Ireland
12,Reperio Human Capital Ltd,Junior Data Analyst,"Galway, Republic of Ireland"
13,State Street International (Ireland) Ltd,Information Protection Reporting and Analytics Analyst,"Kilkenny, County Kilkenny"
14,"Clearstream Fund Centre S.A., Cork Branch",Analyst - Data Management,"Cork, County Cork"
15,Reperio Human Capital Ltd,Senior Data Analyst,"Limerick, County Limerick"
16,Reperio Human Capital Ltd,Senior Data Analyst,"Cork, County Cork"
17,Reperio Human Capital Ltd,Senior Data Analyst,"Galway, Republic of Ireland"
18,Musgrave Limited - Group,Senior Data Analyst,"Dublin, County Dublin"
19,Musgrave Limited - Group,Senior Commercial Data Analyst,"Dublin, County Dublin"
20,Cardinal Health Group,Senior Data Analyst - Supply Chain Planning,Republic of Ireland
21,UNUM Ireland.,Senior Data Analyst,"Carlow, County Carlow"
22,AXA Group,Data Scientist I,"Dublin, County Dublin"
23,Musgrave Limited - Group,Media Insight Analyst,"Dublin, County Dublin"
24,AXA Group,Market Pricing Analyst,"Dublin, County Dublin"
25,AON,Data Scientist,"Dublin, County Dublin"
26,Reperio Human Capital Ltd,Data Scientist,"Cork, County Cork"
27,Reperio Human Capital Ltd,BI Analyst,"Galway, Republic of Ireland"
28,Reperio Human Capital Ltd,BI Developer,"Dublin, County Dublin"
29,Reperio Human Capital Ltd,SAP Data Migration Consultant,"Dublin, County Dublin"
30,Reperio Human Capital Ltd,BI Developer,"Cork, County Cork"
31,Northern Trust,"Associate Consultant, Data Management - Total Portfolio Solutions (FOS) Graduate Opportunity","Limerick, County Limerick"
32,Mars Capital,Data Analyst,"County Dublin, Dublin"
33,Mars Capital,Data Analyst FTC - 6 Months,"County Dublin, Dublin"
34,Deloitte Ireland LLP,Data Analytics - Senior Consultant,"Dublin, County Dublin"
35,AXA Group,Senior Data Scientist,"Dublin, County Dublin"
36,Reperio Human Capital Ltd,Senior Data Scientist,"Galway, Republic of Ireland"
37,Reperio Human Capital Ltd,Senior Data Scientist,"Galway, Republic of Ireland"
38,Morgan McKinley,Data and Systems Analyst,"Galway, Republic of Ireland"
39,Sigmar Recruitment,Qualified Actuary-Insurance-central Dublin-hybrid,"Dublin, County Dublin"
40,Accpro,Data Anlayst,"Dublin, County Dublin"
41,Sumitomo Banking Corp,Senior Data Analyst,"Tralee, County Kerry"
42,Paypal,Senior Data Analyst,"County Dublin, Dublin"
43,Liberty IT,Data Scientist,"Galway, Republic of Ireland"
44,Mastercard,"Director, Data Scientist","County Dublin, Dublin"
45,Liberty Information Technology,Data Scientist,"Galway, Republic of Ireland"
46,Red Hat,Data Scientist,"Waterford, County Waterford"
47,McAfee Ireland Ltd,Data Scientist - LLMs & Generative AI,"Cork, County Cork"
48,Eaton Corporation,Data Scientist,"County Dublin, Dublin"
49,Paypal,Data Scientist - Dublin,"County Dublin, Dublin"
50,Paypal,Data Scientist - CGS Event,"County Dublin, Dublin"
51,Paypal,Snr Data Scientist - Fraud Automation Team,"County Dublin, Dublin"
52,Microsoft,Principal Data Scientist - Microsoft 365 Copilot,"Moneygall, County Offaly"
53,Verizon,Senior Manager Techical Project Management,"Limerick, County Limerick"
