,job_title,company,experience,skills
1,AWS Data Engineer,N/A,3,"Python, Scala, SQL, R, Go, C++, Spark, AWS, Databricks, Snowflake, BigQuery, Redshift, Airflow, Terraform, JSON, CI/CD"
2,Quantitative Data Engineer,N/A,3,"Python, R, Go, C++, Databricks, JSON"
3,Data Engineer (Limerick/Hybrid),N/A,3,"Python, Java, Scala, SQL, R, Go, C++, Kafka, AWS, Azure, GCP, Databricks, PostgreSQL, MySQL, MongoDB, Snowflake, DynamoDB, Informatica, JSON, Kinesis"
4,"Data Engineering Lead, Dublin",N/A,5,"R, Go, C++, Databricks, JSON"
5,Data Products Engineer,N/A,0,"Python, SQL, R, Go, C++, AWS, Databricks, Docker, Terraform, JSON, GraphQL, GitLab, CI/CD"
6,Data and BI Engineer,N/A,4,"Python, SQL, R, Go, C++, AWS, Azure, Informatica, SSIS, JSON"
7,Senior Data Engineer,N/A,5,"Python, SQL, R, Go, C++, AWS, Databricks, Snowflake, Airflow, JSON, CI/CD"
8,Senior Data Engineer,N/A,6,"Python, SQL, R, Go, C++, AWS, Databricks, Snowflake, Airflow, dbt, JSON, CI/CD"
9,Senior Data Engineer,N/A,0,"Python, SQL, R, Go, C++, AWS, Azure, Databricks, Snowflake, JSON"
10,Senior Data Engineer - Databricks,N/A,0,"Python, SQL, R, Go, C++, AWS, Azure, Databricks, Snowflake, JSON"
11,Senior Data Engineer,N/A,5,"SQL, R, Go, C++, Databricks, SSIS, JSON"
12,Senior Data Engineer,N/A,2,"SQL, R, Go, C++, AWS, Azure, Databricks, JSON"
13,Senior Data Engineer,N/A,5,"Python, SQL, R, Go, C++, Kafka, AWS, Databricks, Snowflake, JSON"
14,IT Infrastructure & Data Centre Build Engineer,N/A,0,"R, Go, C++, JSON"
15,Lead Data Engineer,N/A,8,"Python, SQL, R, Go, C++, Kafka, AWS, Snowflake, Redshift, Airflow, Terraform, JSON, Kinesis, CI/CD, DevOps"
16,Lead Data Engineer,N/A,8,"Python, SQL, R, Go, C++, Kafka, AWS, Databricks, Snowflake, Redshift, Airflow, Terraform, JSON, Kinesis, CI/CD, DevOps"
17,Senior Clinical Data Science Programmer,N/A,0,"Python, R, Go, C++, JSON"
18,Data Engineer Contractor (Python Pandas),N/A,0,"Python, R, Go, C++, JSON, XML, Git, CI/CD"
19,Data Engineer Contractor (Python / kdb+),N/A,0,"Python, R, Go, C++, AWS, Databricks, PostgreSQL, JSON, XML"
20,Information Security Data Engineer,N/A,0,"SQL, R, Go, C++, AWS, MySQL, JSON, XML"
21,Backend & Data Engineer - Ratings & Reviews (HYBRID),N/A,4,"Python, Java, R, Go, C++, Spark, AWS, Databricks, PostgreSQL, Airflow, Kubernetes, JSON, XML, GraphQL"
22,Data Engineer,N/A,4,"Python, Java, Scala, SQL, R, Go, C++, Spark, Hadoop, Hive, AWS, Azure, Databricks, Airflow, JSON, XML"
23,Proof of Concept Strategic Solution & Data Engineer,N/A,5,"Python, SQL, R, Go, C++, AWS, JSON, XML"
24,Security Data Governance Engineer,N/A,5,"R, Go, C++, AWS, Azure, GCP, JSON, XML, DevOps"
25,"Workplace Solutions - Data Analyst, Vice President",N/A,5,"Python, SQL, R, Go, C++, Azure, JSON"
26,Senior Data Engineer,N/A,5,"Python, SQL, R, Go, C++, Kafka, AWS, Azure, Databricks, Snowflake, JSON, XML"
27,Lead Data Engineer,N/A,0,"Python, Scala, R, Go, C++, Spark, Hadoop, AWS, Databricks, Jenkins, Terraform, JSON, XML, Git, CI/CD, DevOps"
28,Cloud and AI - Data Solution Engineer - German Speaking,N/A,0,"Python, SQL, R, Go, C++, Hadoop, AWS, Databricks, PostgreSQL, Snowflake, BigQuery, Redshift, JSON, XML"
29,"Digital Solution Engineer - Cloud & AI Data, German Market",N/A,2,"Python, R, Go, C++, AWS, JSON, XML"
30,Scrum Master,N/A,5,"R, Go, C++, JSON"
31,"AI & Data, Manager/Senior Manager, Hybrid",N/A,0,"R, Go, C++, JSON"
32,Senior Security Data Governance Engineer,N/A,5,"R, Go, C++, AWS, Azure, GCP, JSON, XML"
33,Data Engineering Operations Manager,N/A,5,"Python, R, Go, C++, Spark, Kafka, AWS, Snowflake, Redshift, Airflow, JSON, XML, DevOps"
34,"Director, Data Scientist",N/A,0,"Python, R, Go, C++, Spark, Hadoop, AWS, Azure, Google Cloud, JSON, XML"
35,"Staff Engineer, Applications, Site Reliability Engineering",N/A,8,"R, Go, C++, AWS, Azure, GCP, Kubernetes, JSON, XML, DevOps"
36,Senior Data Scientist,N/A,0,"Python, R, Go, C++, Spark, Hadoop, Databricks, JSON, XML, Git"
37,Senior Backend Engineer,N/A,0,"Python, R, Go, C++, Spark, Flink, AWS, Azure, GCP, Databricks, PostgreSQL, Airflow, dbt, Terraform, JSON, XML"
38,"Manager, Data Science - Dublin",N/A,3,"Python, SQL, R, Go, C++, Snowflake, BigQuery, JSON, XML"
39,Data Centre Cx Commissioning Engineer,N/A,0,"R, Go, C++, JSON"
40,Data Center Electrical Engineer,N/A,0,"R, Go, C++, JSON, XML"
