ID,company,job_title,job_location
1,AXA Group,Data Scientist I,"Dublin, County Dublin"
2,Reperio Human Capital Ltd,Data Scientist,"Cork, County Cork"
3,AON,Data Scientist,"Dublin, County Dublin"
4,AXA Group,Senior Data Scientist,"Dublin, County Dublin"
5,Reperio Human Capital Ltd,Senior Data Scientist,"Galway, Republic of Ireland"
6,Reperio Human Capital Ltd,Senior Data Scientist,"Galway, Republic of Ireland"
7,Eaton Corporation,Data Scientist,"County Dublin, Dublin"
8,McAfee Ireland Ltd,Data Scientist - LLMs & Generative AI,"Cork, County Cork"
9,Microsoft,Principal Data Scientist - Microsoft 365 Copilot,"Moneygall, County Offaly"
10,Mastercard,"Director, Data Scientist","County Dublin, Dublin"
11,Red Hat,Data Scientist,"Waterford, County Waterford"
12,Paypal,Snr Data Scientist - Fraud Automation Team,"County Dublin, Dublin"
13,Paypal,Data Scientist - Dublin,"County Dublin, Dublin"
14,Liberty IT,Data Scientist,"Galway, Republic of Ireland"
15,Liberty Information Technology,Data Scientist,"Galway, Republic of Ireland"
16,Paypal,Data Scientist - CGS Event,"County Dublin, Dublin"
17,Mastercard,Lead Data Scientist,"County Dublin, Dublin"
18,Experian Group,Lead Data Scientist - Model Risk Management,"County Dublin, Dublin"
19,AXA Group,Analytics Translator,"Dublin, County Dublin"
20,Mastercard,Senior Data Scientist,"County Dublin, Dublin"
21,Paypal,Senior Data Scientist - Dublin,"County Dublin, Dublin"
22,CVS Health Ireland,Machine Learning Engineer,"Galway, Republic of Ireland"
23,AXA Group,Scrum Master,"Dublin, County Dublin"
24,Paypal,"Manager, Data Science - Dublin","County Dublin, Dublin"
25,Mastercard,Lead AI Engineer,"County Dublin, Dublin"
26,Microsoft,Applied Scientist - LLM,"County Dublin, Dublin"
27,Experian Group,Machine Learning Engineer - GenAI,"County Dublin, Dublin"
28,Mastercard,"Product Manager, Payments AI Solutions","County Dublin, Dublin"
29,Mastercard,"Product Manager, Payments AI Solutions","County Dublin, Dublin"
30,Cancer Trials Ireland CLG,Statistical Programmer,"Dublin, County Dublin"
31,Northern Trust,Data Analyst - AML/KYC-Limerick,"Limerick, County Limerick"
32,HIQA (Health Information and Quality Authority),Healthcare Data Analyst,Republic of Ireland
33,Cpl Resources,"Senior/Principal Data Analyst - Hybrid, Financial Services, Galway","Galway, Republic of Ireland"
34,J.P MORGAN S.E Dublin Branch,"Workplace Solutions - Data Analyst, Vice President","Dublin, County Dublin"
35,Total Talent,"Freight Invoice & Data Analyst (SAP, Excel, Power BI)","Dublin, County Dublin"
36,Tasman Global Healthcare Ireland Limited dba Nordic Global,Data Analyst - Clarity,"Dublin, County Dublin"
37,Musgrave Limited - Group,Media Insight Analyst,"Dublin, County Dublin"
38,UniJobs,Data Analyst,"Tullamore, County Offaly"
39,Strive Recruitment,Data Analyst,"Galway, Republic of Ireland"
40,Aviva (EG),Pricing Machine Learning Engineer,"Dublin, County Dublin"
41,Royal College of Surgeons (RCSI),Clinical Bioinformatician,"Beaumont, County Dublin"
42,AXA Group,Market Pricing Analyst,"Dublin, County Dublin"
43,State Street International (Ireland) Ltd,Information Protection Reporting and Analytics Analyst,"Kilkenny, County Kilkenny"
44,UniJobs,CRM Development Analyst,"Dublin, County Dublin"
45,Reperio Human Capital Ltd,Junior Data Analyst,"Galway, Republic of Ireland"
46,Total Talent,"Freight Invoice & Data Analyst (SAP, Excel, Power BI)","Dublin, County Dublin"
47,@Recruit IT Limited,Data Analyst - Azure,"Dublin, County Dublin"
48,UniJobs,Data Analyst - Limerick,"Limerick, County Limerick"
49,Reperio Human Capital Ltd,BI Analyst,"Galway, Republic of Ireland"
50,Cpl Resources,Senior Administration Assistant | Dublin City Centre based | Hybrid model | €40k,"Dublin, County Dublin"
51,Deloitte Ireland LLP,Data Analytics - Senior Consultant,"Dublin, County Dublin"
52,Reperio Human Capital Ltd,Senior Data Analyst,"Limerick, County Limerick"
53,Musgrave Limited - Group,Senior Data Analyst,"Dublin, County Dublin"
54,Cardinal Health Group,Senior Data Analyst - Supply Chain Planning,Republic of Ireland
55,Reperio Human Capital Ltd,Senior Data Analyst,"Galway, Republic of Ireland"
56,UNUM Ireland.,Senior Data Analyst,"Carlow, County Carlow"
57,Musgrave Limited - Group,Senior Commercial Data Analyst,"Dublin, County Dublin"
58,Reperio Human Capital Ltd,Senior Data Analyst,"Cork, County Cork"
59,Reperio Human Capital Ltd,Senior Machine Learning Engineer,"Dublin, County Dublin"
60,Mars Capital,Data Analyst,"County Dublin, Dublin"
61,Mars Capital,Data Analyst FTC - 6 Months,"County Dublin, Dublin"
62,Microsoft,AI Business Process Digital Solution Area Specialist,"County Dublin, Dublin"
63,Munster Rugby,Vacancy | Academy & Pathway Performance Analyst,"Castletroy, Limerick"
64,IQVIA,Senior Biostatistician – Oncology (FSP -Permanent Homebased),"County Dublin, Dublin"
65,Sumitomo Banking Corp,Senior Data Analyst,"Tralee, County Kerry"
66,Paypal,Senior Data Analyst,"County Dublin, Dublin"
67,IQVIA,Snr Data Team Lead,"County Dublin, Dublin"
